respondent_id,role,discipline,freq_use,tools_used,benefit_writing,benefit_coding,concern_accuracy,concern_integrity,concern_skill_loss,training_received,disclosed_use,overall_stance,benefit_mean,concern_mean,cohort,n_tools
R001,Undergraduate,Business,5.0,DeepSeek;Gemini,5,5.0,5,3,4,No,Always,5,5.0,4.0,Student,2
R002,Undergraduate,Science,5.0,ChatGPT;Copilot;DeepSeek,4,4.0,4,3,4,No,Always,3,4.0,3.6666666666666665,Student,3
R003,Undergraduate,Science,5.0,Claude;Grammarly,5,5.0,3,1,2,Yes,Never,5,5.0,2.0,Student,2
R004,Undergraduate,Education,5.0,ChatGPT;Copilot,5,5.0,4,4,3,No,Always,5,5.0,3.6666666666666665,Student,2
R005,Undergraduate,Humanities,4.0,DeepSeek;Gemini;Grammarly,2,3.0,4,4,4,No,Always,3,2.5,4.0,Student,3
R006,Undergraduate,Engineering,4.0,ChatGPT;DeepSeek,3,4.0,3,3,3,No,Sometimes,4,3.5,3.0,Student,2
R007,Undergraduate,Business,4.0,Copilot;Grammarly,1,1.0,5,4,4,No,Sometimes,2,1.0,4.333333333333333,Student,2
R008,Undergraduate,Business,,DeepSeek;Gemini;Grammarly,5,4.0,4,3,5,No,Sometimes,3,4.5,4.0,Student,3
R009,Undergraduate,Engineering,3.0,ChatGPT,3,2.0,3,4,4,No,Always,3,2.5,3.6666666666666665,Student,1
R010,Undergraduate,Information Technology,4.0,Claude;DeepSeek;Gemini,2,3.0,3,4,3,No,Sometimes,3,2.5,3.3333333333333335,Student,3
R011,Undergraduate,Education,4.0,Copilot;Gemini;Grammarly,2,3.0,5,3,2,No,Sometimes,4,2.5,3.3333333333333335,Student,3
R012,Undergraduate,Information Technology,5.0,Claude;Copilot,5,4.0,4,3,4,No,Always,4,4.5,3.6666666666666665,Student,2
R013,Undergraduate,Law,2.0,Grammarly,5,2.0,3,2,2,No,Always,4,3.5,2.3333333333333335,Student,1
R014,Undergraduate,Science,2.0,ChatGPT,5,3.0,3,3,2,Yes,Always,5,4.0,2.6666666666666665,Student,1
R015,Undergraduate,Business,3.0,DeepSeek,2,3.0,5,4,3,Yes,Always,2,2.5,4.0,Student,1
