respondent_id,role,discipline,freq_use,tools_used,benefit_writing,benefit_coding,concern_accuracy,concern_integrity,concern_skill_loss,training_received,disclosed_use,overall_stance
R001,Undergraduate,Business,5,DeepSeek;Gemini,5,5,5,3,4,No,Always,5
R002,Undergraduate,Science,5,ChatGPT;Copilot;DeepSeek,4,4,4,3,4,No,Always,3
R003,Undergraduate,Science,5,Claude;Grammarly,5,5,3,1,2,Yes,Never,5
R004,Undergraduate,Education,5,ChatGPT;Copilot,5,5,4,4,3,No,Always,5
R005,Undergraduate,Humanities,4,DeepSeek;Gemini;Grammarly,2,3,4,4,4,No,Always,3
R006,Undergraduate,Engineering,4,ChatGPT;DeepSeek,3,4,3,3,3,No,Sometimes,4
R007,Undergraduate,Business,4,Copilot;Grammarly,1,1,5,4,4,No,Sometimes,2
R008,Undergraduate,Business,,DeepSeek;Gemini;Grammarly,5,4,4,3,5,No,Sometimes,3
R009,Undergraduate,Engineering,3,ChatGPT,3,2,3,4,4,No,Always,3
R010,Undergraduate,Information Technology,4,Claude;DeepSeek;Gemini,2,3,3,4,3,No,Sometimes,3
R011,Undergraduate,Education,4,Copilot;Gemini;Grammarly,2,3,5,3,2,No,Sometimes,4
R012,Undergraduate,Information Technology,5,Claude;Copilot,5,4,4,3,4,No,Always,4
R013,Undergraduate,Law,2,Grammarly,5,2,3,2,2,No,Always,4
R014,Undergraduate,Science,2,ChatGPT,5,3,3,3,2,Yes,Always,5
R015,Undergraduate,Business,3,DeepSeek,2,3,5,4,3,Yes,Always,2
R016,Undergraduate,Humanities,4,ChatGPT,4,3,5,3,2,No,Never,4
R017,Undergraduate,Humanities,5,Copilot,5,3,4,4,4,Yes,Sometimes,5
R018,Undergraduate,Engineering,3,ChatGPT;DeepSeek;Grammarly,5,2,5,4,3,Yes,Never,5
R019,Undergraduate,Law,4,Copilot;Grammarly,3,9,4,4,4,No,Sometimes,3
R020,Undergraduate,Business,5,ChatGPT;Copilot;Gemini,3,5,3,2,3,Yes,Sometimes,3
R021,Undergraduate,Humanities,3,ChatGPT;Claude;DeepSeek,3,3,5,5,3,No,Never,5
R022,Undergraduate,Humanities,5,Copilot;DeepSeek,4,4,4,2,3,No,Sometimes,5
R023,Undergraduate,Business,5,Copilot;Grammarly,5,3,3,5,5,No,Never,4
R024,Undergraduate,Law,3,ChatGPT;Copilot;DeepSeek,3,1,5,4,3,No,Never,2
R025,Postgraduate (coursework),Business,5,Copilot;DeepSeek;Gemini,5,5,4,3,3,Yes,Sometimes,3
R026,Postgraduate (coursework),Education,5,Claude;Gemini,5,3,3,5,5,Yes,Sometimes,4
R027,Postgraduate (coursework),Health Sciences,4,ChatGPT,3,5,3,3,4,Yes,Always,3
R028,Postgraduate (coursework),Business,5,ChatGPT;Copilot,5,5,3,3,5,No,Always,5
R029,Postgraduate (coursework),Science,2,ChatGPT,1,4,5,3,1,No,Sometimes,2
R030,Postgraduate (coursework),Health Sciences,3,Copilot;DeepSeek;Gemini,4,2,2,2,3,No,Sometimes,4
R031,Postgraduate (coursework),Education,5,Grammarly,4,5,5,5,2,No,Always,3
R032,postgraduate (research),Law,3,Copilot;DeepSeek;Gemini,3,4,4,3,4,No,Never,4
R033,Postgraduate (coursework),Engineering,5,Claude;DeepSeek;Gemini,5,5,4,2,3,No,Sometimes,5
R034,Postgraduate (coursework),Science,2,Grammarly,2,2,4,5,5,No,Always,4
R035,Postgraduate (coursework),Education,3,Gemini,3,2,5,3,5,No,Always,2
R036,Postgraduate (coursework),Humanities,3,Claude;Copilot,2,4,5,4,4,Yes,Always,4
R037,Postgraduate (coursework),Health Sciences,2,Copilot,3,2,2,4,4,No,Always,4
R038,Postgraduate (coursework),Law,5,ChatGPT;Gemini,4,4,2,3,5,Yes,Sometimes,4
R039,Postgraduate (research),Business,5,ChatGPT;Copilot,5,5,5,4,4,No,Sometimes,5
R040,Postgraduate (research),Education,5,Claude;DeepSeek;Gemini,5,4,5,4,5,No,Sometimes,4
R041,Postgraduate (research),Engineering,5,ChatGPT;DeepSeek;Grammarly,5,5,3,4,2,No,Sometimes,5
R042,Postgraduate (research),Business,4,Grammarly,2,4,4,3,3,No,Sometimes,2
R043,Postgraduate (research),Science,2,Copilot,3,1,5,4,3,Yes,Sometimes,2
R044,Postgraduate (research),Health Sciences,3,DeepSeek;Gemini,3,3,3,2,2,No,Sometimes,4
R045,Postgraduate (research), Business ,3,ChatGPT;Gemini,5,3,5,5,4,Yes,Sometimes,5
R045,Postgraduate (research), Business ,3,ChatGPT;Gemini,5,3,5,5,4,Yes,Sometimes,5
R046,Postgraduate (research),Law,5,Claude;Copilot,3,4,5,4,4,No,Never,3
R047,Postgraduate (research),Humanities,4,DeepSeek;Grammarly,4,4,5,4,4,Yes,Sometimes,4
R048,Postgraduate (research),Humanities,3,DeepSeek,4,3,4,4,4,Yes,Sometimes,5
R049,Postgraduate (research),Humanities,3,ChatGPT;DeepSeek,5,5,5,3,5,Yes,Sometimes,5
R050,Postgraduate (research),Engineering,4,Grammarly,5,3,4,3,3,Yes,Always,5
R051,Postgraduate (research),Humanities,4,ChatGPT;DeepSeek,5,2,4,5,4,No,Sometimes,5
R052,Postgraduate (research),Law,3,Copilot,3,1,3,3,3,No,Always,4
R053,Academic staff,Health Sciences,3,ChatGPT;DeepSeek;Gemini,2,4,3,5,3,No,Always,2
R054,Academic staff,Engineering,3,DeepSeek;Gemini;Grammarly,3,2,3,2,5,No,Sometimes,5
R055,Academic staff,Humanities,3,Copilot;Grammarly,4,4,2,3,5,No,Always,4
R056,Academic staff,Information Technology,2,ChatGPT,4,3,3,4,5,No,Always,5
R057,Academic staff,Health Sciences,3,Copilot;Gemini,4,3,3,3,4,Yes,Never,5
R058,Academic staff,Information Technology,4,Claude;Gemini,5,4,5,4,3,No,Always,4
R059,Academic staff,Humanities,1,Gemini,3,2,3,3,4,No,Always,4
R060,Academic staff,Science,1,ChatGPT,1,1,5,2,1,No,Never,3
