participant,role,protocol_version,A1,A2,A3a,A3b,A3c,A3d,A4,B1,B2,B3,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4
P01,PG research,v01,0,4,0,3,2,0,2,1,3,1,3,1,2,0,0,0,2,2,1,1
P02,UG,v01,3,0,4,0,1,0,1,3,2,2,1,1,3,0,2,0,2,2,2,2
P03,Staff,v01,4,0,0,1,4,0,3,3,0,0,2,4,0,3,0,3,1,3,1,2
P04,UG,v01,5,1,2,1,0,1,0,4,1,3,2,2,1,0,1,0,3,1,2,1
P05,PG coursework,v01,2,2,1,2,2,0,2,2,2,1,3,2,2,0,0,0,2,2,2,1
P06,Staff,v01,3,0,0,2,3,0,4,2,0,1,3,3,0,2,1,2,1,2,1,3
P07,UG,v02,4,1,3,0,1,1,1,3,2,2,2,1,2,0,1,0,2,3,1,2
P08,PG research,v02,1,3,0,3,2,0,3,1,4,1,3,1,3,1,1,1,2,1,2,2
P09,UG,v02,4,0,2,1,1,2,0,4,1,2,1,2,2,0,2,0,3,2,1,1
P10,PG coursework,v02,3,2,1,2,1,0,1,2,2,2,2,2,1,0,1,0,2,2,2,2
